Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error
12/18/2019,18:27:56,1.60,1,56,61,58,65,67,60,70,64,50,69,50,65,24.00,54.00,569,5.00,0,40,8,0,0,0
12/18/2019,18:27:56,186.93,2,52,57,59,63,59,67,63,67,55,60,63,68,21.00,45.00,549,5.00,0,40,8,0,0,0
12/18/2019,18:27:56,386.45,3,59,54,56,60,68,56,55,55,66,61,57,54,20.00,51.00,571,5.00,0,40,8,0,0,0
12/18/2019,18:27:56,586.11,4,57,53,67,51,55,69,52,58,66,56,61,68,23.00,55.00,570,5.00,0,40,8,0,0,0
12/18/2019,18:27:56,785.83,5,59,57,64,52,53,58,54,60,55,66,59,70,26.00,48.00,501,5.00,0,40,8,0,0,0
12/18/2019,18:27:57,1.29,6,69,59,57,55,63,56,52,60,52,54,63,57,26.00,53.00,512,5.00,0,40,8,0,0,0
12/18/2019,18:27:57,185.31,7,66,59,52,56,66,57,51,56,61,70,62,54,18.00,57.00,526,5.00,0,40,8,0,0,0
12/18/2019,18:27:57,390.09,8,54,55,58,66,64,56,57,56,70,55,70,50,24.00,46.00,545,5.00,0,40,8,0,0,0
12/18/2019,18:27:57,589.79,9,58,69,53,50,53,70,62,61,57,66,58,68,18.00,59.00,542,5.00,0,40,8,0,0,0
12/18/2019,18:27:57,789.50,10,51,57,62,58,70,54,56,51,69,60,66,67,24.00,52.00,577,5.00,0,40,8,0,0,0
12/18/2019,18:27:58,5.12,11,59,63,67,69,69,50,51,53,70,56,53,68,21.00,64.00,566,5.00,0,40,8,0,0,0
12/18/2019,18:27:58,189.12,12,65,59,55,65,55,58,54,64,65,61,61,52,22.00,45.00,508,5.00,0,40,8,0,0,0
12/18/2019,18:27:58,388.81,13,61,61,55,54,57,52,51,65,61,54,61,60,20.00,58.00,571,5.00,0,40,8,0,0,0
12/18/2019,18:27:58,588.42,14,60,61,68,51,65,50,65,57,53,66,64,52,21.00,60.00,578,5.00,0,40,8,0,0,0
12/18/2019,18:27:58,788.10,15,62,59,66,70,56,52,56,52,52,52,60,70,27.00,49.00,518,5.00,0,40,8,0,0,0
12/18/2019,18:27:59,3.37,16,58,51,64,52,55,69,66,69,55,63,67,54,28.00,47.00,551,5.00,0,40,8,0,0,0
12/18/2019,18:27:59,187.25,17,70,64,61,69,59,61,55,53,57,70,69,68,22.00,62.00,511,5.00,0,40,8,0,0,0
12/18/2019,18:27:59,386.91,18,69,50,62,58,51,54,61,52,59,69,62,70,25.00,58.00,508,5.00,0,40,8,0,0,0
12/18/2019,18:27:59,586.46,19,53,58,58,64,58,57,67,60,69,58,61,55,20.00,55.00,560,5.00,0,40,8,0,0,0
12/18/2019,18:27:59,786.19,20,51,55,51,51,65,68,67,65,54,65,54,70,22.00,54.00,539,5.00,0,40,8,0,0,0
12/18/2019,18:28:00,1.50,21,50,63,54,68,60,70,53,51,50,56,63,70,24.00,54.00,580,5.00,0,40,8,0,0,0
12/18/2019,18:28:00,185.45,22,56,57,51,61,69,50,58,57,56,70,62,61,28.00,57.00,544,5.00,0,40,8,0,0,0
12/18/2019,18:28:00,388.70,23,69,70,66,62,61,59,67,53,53,54,60,66,18.00,62.00,579,5.00,0,40,8,0,0,0
12/18/2019,18:28:00,588.35,24,60,67,54,66,63,50,67,66,50,52,52,57,18.00,61.00,560,5.00,0,40,8,0,0,0
12/18/2019,18:28:00,788.19,25,68,60,66,51,63,53,53,66,57,50,50,61,19.00,52.00,509,5.00,0,40,8,0,0,0
12/18/2019,18:28:01,3.69,26,67,58,61,67,58,63,68,58,62,50,60,66,25.00,55.00,546,5.00,0,40,8,0,0,0
12/18/2019,18:28:01,187.64,27,52,65,58,66,69,70,50,56,69,67,60,57,20.00,61.00,543,5.00,0,40,8,0,0,0
12/18/2019,18:28:01,388.51,28,51,53,53,69,52,51,60,65,62,59,51,66,19.00,49.00,506,5.00,0,40,8,0,0,0
