Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Temp,Humid,LUX,VoltsIn,Dark,OptoFreq,OptoPW,OptoCol1,OptoCol2,Error,Index
12/27/2019,22:23:08,3.21,1,55,51,50,69,58,60,62,68,60,61,59,63,18.00,52.00,528,5.00,0,40,8,0,0,0,156
12/27/2019,22:23:08,203.21,2,55,63,65,53,52,64,57,57,50,57,50,67,25.00,46.00,528,5.00,0,40,8,0,0,0,157
12/27/2019,22:23:08,403.21,3,64,64,51,55,67,66,68,69,68,57,61,66,25.00,63.00,544,5.00,0,40,8,0,0,0,158
12/27/2019,22:23:08,603.21,4,58,64,67,62,68,55,70,53,68,67,54,59,27.00,65.00,524,5.00,0,40,8,0,0,0,159
12/27/2019,22:23:08,803.21,5,58,70,54,64,66,66,66,57,54,54,60,54,28.00,61.00,580,5.00,0,40,8,0,0,0,160
12/27/2019,22:23:09,3.03,6,65,70,60,61,66,60,50,70,68,53,62,67,19.00,51.00,560,5.00,0,40,8,0,0,0,166
12/27/2019,22:23:09,203.03,7,64,53,53,52,56,53,50,56,56,57,63,56,24.00,52.00,545,5.00,0,40,8,0,0,0,167
12/27/2019,22:23:09,403.03,8,65,51,51,57,67,54,63,52,65,66,57,69,18.00,58.00,552,5.00,0,40,8,0,0,0,168
12/27/2019,22:23:09,603.03,9,65,68,62,67,61,58,50,68,54,61,51,57,26.00,46.00,540,5.00,0,40,8,0,0,0,169
12/27/2019,22:23:09,803.03,10,57,53,65,51,59,68,53,54,54,61,69,66,27.00,47.00,534,5.00,0,40,8,0,0,0,170
12/27/2019,22:23:10,4.50,11,61,51,66,64,70,52,58,67,61,52,56,59,26.00,59.00,500,5.00,0,40,8,0,0,0,176
12/27/2019,22:23:10,204.50,12,58,69,53,69,60,54,63,65,51,57,70,63,18.00,64.00,570,5.00,0,40,8,0,0,0,177
12/27/2019,22:23:10,404.50,13,55,58,58,65,65,57,60,60,66,66,62,69,22.00,64.00,540,5.00,0,40,8,0,0,0,178
